,City,Cloudiness,Country,Humidity,Latitude,Longitude,Temperature,Wind Speed
154,Port Elizabeth,75,ZA,94,-33.92,25.57,71.6,12.75
155,Coos Bay,90,US,100,43.37,-124.22,41.32,9.17
156,Longyearbyen,20,SJ,77,78.22,15.64,-2.2,5.82
157,Vaini,20,TO,79,-21.2,-175.2,84.2,9.17
158,Sovetskiy,61,RU,94,61.36,63.58,15.33,4.83
159,Yangi Marg`ilon,90,UZ,77,40.43,71.72,32.0,2.24
160,Dickinson,90,US,93,29.46,-95.05,62.33,5.82
161,Lukovetskiy,90,RU,92,64.3,41.92,28.4,6.71
162,Talnakh,75,RU,84,69.49,88.4,8.6,35.79
163,Okhotsk,0,RU,68,59.38,143.3,-20.78,8.14
164,Dakar,6,SN,60,14.69,-17.44,68.0,12.75
165,Beloha,1,MG,78,-25.17,45.05,72.12,7.92
166,Vao,82,NC,81,-22.67,167.48,77.59,21.5
167,Sfantu Gheorghe,23,RO,89,45.87,25.78,21.0,3.18
168,Strelka,99,RU,96,58.07,93.03,10.89,3.85
169,Chebarkul,71,RU,87,54.97,60.36,11.89,8.21
170,Chihuahua,90,MX,11,28.5,-106.0,69.8,4.7
171,Den Helder,90,NL,87,52.96,4.76,49.1,28.86
172,Bambous Virieux,40,MU,94,-20.34,57.76,79.41,6.93
173,Provincia di Mantova,33,IT,100,45.17,10.78,31.23,2.24
174,Ribeira Grande,100,PT,84,38.52,-28.7,59.36,28.7
175,Ucluelet,90,CA,69,48.93,-125.55,30.42,4.7
176,Port Alfred,80,ZA,94,-33.59,26.89,71.01,5.01
177,Kalangala,20,UG,94,-0.31,32.23,68.0,3.36
178,Oruzgan,93,AF,89,32.83,66.0,9.21,7.78
179,Clyde River,90,CA,83,70.47,-68.59,-7.6,18.34
180,Cape Town,20,ZA,88,-33.93,18.42,70.47,13.87
181,Dikson,100,RU,93,73.51,80.55,1.63,23.51
182,Gambela,14,ET,45,8.25,34.58,69.91,3.49
183,Bichena,14,ET,56,10.45,38.2,51.28,3.65
184,Margate,75,GB,87,51.38,1.39,50.56,27.51
185,Sironj,7,IN,85,24.1,77.7,57.51,4.61
186,Ballina,90,AU,88,-28.87,153.57,71.19,8.05
187,Rome,90,US,90,43.21,-75.46,35.85,4.05
188,Mossamedes,82,AO,84,-15.2,12.15,73.31,13.35
189,Sarkand,100,KZ,96,45.41,79.92,22.98,4.27
190,Nortelandia,36,BR,87,-14.45,-56.8,75.42,3.96
191,Tokur,0,RU,89,53.13,132.9,-20.34,2.15
192,San Pedro de Cajas,65,PE,76,-11.25,-75.86,43.27,5.5
193,Alyangula,40,AU,83,-13.85,136.42,84.2,9.17
194,Puerto Ayacucho,20,VE,49,5.66,-67.62,89.6,11.41
195,Cockburn Town,75,TC,69,21.46,-71.14,78.8,23.04
196,Kapoeta,8,SS,27,4.77,33.59,77.02,1.79
197,Touros,20,BR,78,-5.2,-35.46,80.6,8.05
198,Mahibadhoo,91,MV,73,3.78,72.97,80.74,15.32
199,Sao Filipe,94,CV,74,14.9,-24.5,69.58,14.9
200,Kaitangata,2,NZ,72,-46.28,169.85,59.0,10.0
201,Port Hedland,75,AU,79,-20.32,118.57,86.0,9.17
202,Igurubi,57,TZ,94,-4.0,33.7,64.27,2.24
203,Kaeo,4,NZ,78,-35.1,173.78,72.64,4.0
204,San Martin,40,AR,49,-33.08,-68.47,91.4,9.17
205,Flin Flon,75,CA,76,54.77,-101.86,-9.4,3.36
206,Manakara,27,MG,94,-22.13,48.02,73.65,2.19
207,Puerto Leguizamo,68,CO,57,-0.19,-74.78,77.97,2.08
208,Bathsheba,75,BB,78,13.22,-59.52,77.0,14.99
209,Cadillac,90,US,86,44.25,-85.4,30.97,3.36
210,Abu Samrah,35,SY,77,35.3,37.18,44.46,0.4
211,Aklavik,5,CA,74,68.22,-135.01,-12.89,8.05
212,Yakeshi,99,CN,100,49.28,120.73,-21.46,2.51
213,Afua,38,BR,88,-0.16,-50.39,76.55,6.44
214,Subirana,20,HN,66,15.2,-87.45,84.2,13.87
215,Acajutla,75,SV,35,13.59,-89.83,86.88,5.82
216,Manzhouli,95,CN,100,49.6,117.43,-16.44,2.66
217,Moron,22,AR,73,-34.65,-58.62,78.8,23.04
218,Yellowknife,20,CA,65,62.46,-114.35,-34.31,4.7
219,Caconda,100,AO,90,-13.73,15.07,61.74,4.76
220,Comodoro Rivadavia,75,AR,35,-45.87,-67.5,89.6,3.36
221,Te Anau,31,NZ,68,-45.42,167.72,51.55,1.21
222,Lompoc,1,US,44,34.64,-120.46,59.27,16.11
223,Olafsvik,100,IS,76,64.89,-23.71,32.81,52.55
224,Vardo,75,NO,85,70.37,31.11,22.59,11.41
225,Walvis Bay,29,NA,88,-22.96,14.51,65.37,6.93
226,Gornopravdinsk,100,RU,94,60.05,69.9,20.41,9.62
227,Bengkulu,99,ID,86,-3.8,102.27,73.08,3.13
228,Mount Isa,39,AU,62,-20.73,139.5,86.0,11.41
229,Leningradskiy,76,RU,94,69.38,178.42,-11.2,6.44
230,Naze,20,JP,87,28.37,129.48,52.75,4.7
231,Kitgum,33,UG,22,3.28,32.89,68.68,3.11
232,Otane,75,NZ,85,-39.88,176.63,55.0,9.84
233,Buraidah,0,SA,41,26.33,43.98,42.8,4.7
234,Guerrero Negro,68,MX,69,27.98,-114.06,61.88,12.62
235,Jalu,100,LY,71,29.03,21.55,57.76,17.4
236,Jidong,12,CN,90,45.22,131.08,-3.28,4.07
237,Myszkow,90,PL,88,50.58,19.32,36.46,10.29
238,Sibolga,80,ID,96,1.74,98.78,70.61,2.91
239,Hamilton,1,US,70,39.18,-84.53,42.3,3.27
240,Ixtapa,5,MX,69,20.7,-105.2,80.78,11.41
241,Lathi,51,IN,52,21.72,71.38,61.7,6.35
242,Cocorit,75,MX,19,27.58,-109.97,78.8,5.82
243,Suratgarh,0,IN,86,29.32,73.9,47.48,4.74
244,Avera,90,US,92,33.19,-82.53,67.96,3.36
245,Bonavista,63,CA,69,48.65,-53.11,14.0,18.01
246,Witu,16,KE,88,-2.39,40.44,77.94,8.93
247,Monte Santo,65,BR,58,-10.44,-39.33,77.74,7.07
248,Pangai,20,TO,70,-19.8,-174.35,86.0,13.87
249,Puerto Cabezas,75,NI,83,14.04,-83.39,82.4,6.93
250,Balatan,21,PH,80,13.32,123.23,78.85,11.48
251,Faya,14,SA,81,18.39,42.45,50.0,9.17
252,Kiama,82,AU,68,-34.68,150.87,73.87,1.12
253,Port-Gentil,40,GA,88,-0.72,8.78,82.4,6.93
254,Biograd na Moru,75,HR,86,43.94,15.45,41.61,5.82
255,Tahoua,100,NE,14,14.89,5.27,75.2,6.93
256,Hasaki,20,JP,93,35.73,140.83,37.13,3.36
257,Summerland,90,CA,50,49.6,-119.67,3.06,12.75
258,Dukat,43,RU,81,62.55,155.55,-16.28,1.59
259,Doctor Juan Leon Mallorquin,75,PY,83,-25.4,-55.27,82.4,5.82
260,Segezha,81,RU,82,63.74,34.32,28.9,13.38
261,La Ronge,75,CA,68,55.1,-105.28,-14.8,9.17
262,Aquiraz,20,BR,74,-3.9,-38.39,82.17,6.93
263,Balkanabat,7,TM,60,39.51,54.37,33.19,2.28
264,Jining,0,CN,71,35.41,116.58,25.9,3.87
265,Cherskiy,97,RU,88,68.75,161.3,-21.84,12.01
266,Havelock,90,US,100,34.88,-76.9,66.63,5.82
267,Mount Gambier,40,AU,77,-37.83,140.77,64.4,10.29
268,Kloulklubed,90,PW,83,7.04,134.26,80.6,8.05
269,Mareeba,40,AU,74,-17.0,145.43,82.35,13.87
270,Ostrovnoy,77,RU,92,68.05,39.51,16.77,15.9
271,Auki,98,SB,77,-8.77,160.7,84.99,21.85
272,Darnah,100,LY,72,32.77,22.64,57.9,19.75
273,Santa Isabel do Rio Negro,61,BR,66,-0.41,-65.02,79.23,1.25
274,AEaenekoski,90,FI,82,62.6,25.73,32.32,10.29
275,Muravlenko,99,RU,93,63.79,74.52,17.42,15.75
276,Pontes e Lacerda,67,BR,95,-15.23,-59.34,75.38,2.06
277,Sao Joao Batista,52,BR,69,-27.28,-48.85,75.0,9.17
278,Ouahigouya,78,BF,13,13.58,-2.42,66.87,17.4
279,Severo-Kuril'sk,78,RU,90,50.68,156.12,20.37,25.23
280,Kiruna,67,SE,73,67.86,20.23,24.8,8.05
281,Pochutla,5,MX,52,15.74,-96.47,88.2,9.17
282,Kemlya,86,RU,94,54.7,45.24,23.77,9.95
283,Ponta Delgada,75,PT,82,37.73,-25.67,62.6,26.4
284,Airai,100,TL,81,-8.93,125.41,73.45,1.79
285,Arrondissement de Vesoul,75,FR,100,47.58,5.83,36.68,5.82
286,Tupaciguara,20,BR,51,-18.59,-48.7,82.4,9.17
287,Coahuayana Viejo,40,MX,42,18.73,-103.68,86.0,2.35
288,Ust'-Uda,20,RU,96,54.17,103.03,-9.18,3.27
289,Roebourne,80,AU,68,-20.78,117.13,85.91,14.09
290,Minab,0,IR,87,27.15,57.08,48.2,6.93
291,Hong Kong,20,HK,72,22.29,114.16,63.48,13.87
292,Mabai,100,CN,95,23.01,104.45,52.5,2.64
293,Supe,10,PE,78,-10.8,-77.73,69.66,4.9
294,Aksu,100,CN,91,41.12,80.26,24.73,0.49
295,Dongsheng,0,CN,85,39.82,109.98,0.79,4.43
296,Mitu,97,CO,88,1.2,-70.17,72.66,1.92
297,Athol,90,US,95,42.6,-72.23,32.05,3.36
298,Kahului,90,US,94,20.89,-156.47,76.53,8.05
299,Nuristan,100,AF,99,35.3,70.83,2.03,2.33
300,Bakel,0,SN,17,14.9,-12.46,69.31,13.76
301,Shaunavon,100,CA,97,49.65,-108.42,-15.81,4.81
302,Sungaipenuh,100,ID,97,-2.08,101.38,63.7,1.92
303,George Town,20,MY,78,5.41,100.34,76.01,4.14
304,Ilulissat,100,GL,71,69.22,-51.1,5.0,21.92
305,Stornoway,97,GB,75,58.21,-6.39,42.84,40.26
306,Kara-Tyube,61,RU,79,44.63,45.44,34.61,12.33
307,Grand Gaube,75,MU,94,-20.01,57.66,79.43,3.36
308,Yanggu,0,CN,80,36.11,115.78,25.14,3.85
309,Sao Joao da Barra,100,BR,92,-21.64,-41.05,76.21,9.42
310,Tura,0,IN,90,25.52,90.22,57.61,1.59
311,Saint-Pierre,68,RE,73,-21.34,55.48,73.54,6.93
312,Arrifes,75,PT,82,37.77,-25.7,62.6,26.4
313,Port Blair,0,IN,75,11.67,92.75,78.69,10.16
314,Pisco,75,PE,30,-13.7,-76.22,71.31,18.34
315,Kualakapuas,35,ID,89,-3.01,114.39,79.07,1.63
316,Dudinka,75,RU,84,69.41,86.18,8.6,35.79
317,Santa Cruz de la Sierra,75,BO,70,-17.8,-63.17,83.19,11.41
318,Udachny,11,RU,83,66.42,112.4,-11.2,2.24
319,Alexandria,78,EG,82,31.22,29.96,53.46,2.66
320,Sabang,24,ID,77,5.89,95.32,81.7,11.59
321,Iglesias,20,IT,100,39.31,8.54,46.42,5.82
322,Atherton,40,GB,81,53.52,-2.49,43.25,12.75
323,Kolosovka,100,RU,91,56.47,73.61,15.44,15.12
324,Dingalan,10,PH,83,15.39,121.39,72.1,7.2
325,Chegdomyn,80,RU,98,51.12,133.02,-20.45,0.34
326,Bone,38,DE,86,51.97,12.14,37.53,10.29
327,Lufilufi,75,WS,79,-13.87,-171.6,84.11,18.34
328,Kandrian,95,PG,96,-6.22,149.55,74.23,6.08
329,Kalmunai,97,LK,64,7.42,81.82,79.3,13.06
330,Srednekolymsk,100,RU,97,67.45,153.68,-15.74,5.39
331,Necochea,87,AR,79,-38.55,-58.74,62.56,8.01
332,Cayenne,83,GF,78,4.93,-52.33,80.6,5.82
333,Saldanha,21,ZA,96,-33.01,17.94,65.86,13.2
334,Plettenberg Bay,68,ZA,94,-34.05,23.37,69.62,5.84
335,Richards Bay,84,ZA,80,-28.78,32.04,76.71,3.6
336,Sao Gabriel da Cachoeira,63,BR,96,-0.13,-67.09,73.99,2.53
337,Sahuaripa,10,MX,29,29.05,-109.23,62.91,3.13
338,Borogontsy,100,RU,98,62.67,131.17,-21.75,3.49
339,Tanabe,0,JP,83,33.73,135.37,37.99,8.39
340,Beauchamps,75,FR,76,50.01,1.52,50.04,18.34
341,Kuytun,61,RU,91,54.34,101.5,-7.15,5.95
342,Mahebourg,40,MU,94,-20.41,57.7,79.43,6.93
343,Ishigaki,75,JP,72,24.34,124.16,68.0,5.82
344,Chimore,99,BO,95,-16.98,-65.13,75.18,2.3
345,Geraldton,90,AU,83,-28.77,114.6,73.4,12.75
346,Rio Brilhante,100,BR,96,-21.8,-54.55,73.35,8.23
347,Tainan,40,TW,82,22.99,120.21,62.49,11.41
348,Ambilobe,52,MG,87,-13.2,49.05,72.93,4.29
349,Cedral,100,MX,36,23.8,-100.73,66.4,3.85
350,Balaghat,0,IN,45,21.8,80.18,55.27,1.88
351,Dingle,78,PH,82,11.0,122.67,75.79,8.39
352,Stromness,78,GB,81,58.97,-3.3,43.81,28.86
353,Nar'yan-Mar,16,RU,91,67.67,53.09,0.63,10.42
354,Prince Rupert,1,CA,44,54.32,-130.32,19.4,4.7
355,Itapirapua,38,BR,79,-15.82,-50.61,74.53,2.21
356,Laguna,90,US,58,38.42,-121.42,53.92,12.75
357,Taft,75,IR,64,31.75,54.21,39.2,6.93
358,Sinnamary,20,GF,83,5.38,-52.95,79.11,15.82
359,Ayagoz,100,KZ,98,47.97,80.44,12.13,7.83
360,Kenai,90,US,85,60.55,-151.26,15.94,7.94
361,Kidal,26,ML,25,18.44,1.41,51.89,14.38
362,Hay River,75,CA,73,60.82,-115.8,-29.2,10.29
363,Fortuna,40,US,93,40.6,-124.16,47.79,13.87
364,Alofi,75,NU,70,-19.06,-169.92,84.2,12.75
365,Chapais,40,CA,84,49.78,-74.85,1.4,3.36
366,Sibu,75,MY,100,2.3,111.82,75.07,1.99
367,Port Macquarie,90,AU,73,-31.43,152.92,77.04,5.82
368,Salasu de Sus,0,RO,69,45.52,22.95,27.21,1.12
369,Yokadouma,100,CM,45,3.52,15.05,68.86,0.67
370,Nola,0,IT,86,40.92,14.53,43.11,2.24
371,Chapleau,5,CA,100,47.84,-83.4,5.0,2.53
372,Hammerfest,90,NO,100,70.66,23.68,28.4,4.7
373,Verkhnyaya Inta,97,RU,98,65.98,60.31,-8.9,6.2
374,Barcelona,20,ES,87,41.39,2.16,40.5,6.93
375,Broken Hill,0,AU,21,-31.95,141.43,80.6,10.29
376,Souillac,40,MU,94,-20.52,57.52,79.43,6.93
377,Neiafu,40,TO,74,-18.65,-173.98,82.4,8.05
378,Zyryanka,100,RU,95,65.75,150.85,-16.44,9.91
379,Dayong,0,CN,93,25.02,118.29,51.8,2.24
380,Ponta do Sol,40,PT,67,32.67,-17.1,58.46,4.7
381,Alegrete,14,BR,30,-29.78,-55.79,85.78,15.57
382,Mega,17,ET,86,4.05,38.3,63.5,0.85
383,Jiangdu,65,CN,93,32.43,119.56,37.72,1.01
384,Tengzhou,0,CN,82,35.08,117.15,28.08,4.65
385,Amguri,0,IN,86,26.8,94.53,55.62,3.31
386,Kremasti,20,GR,81,36.41,28.12,50.94,3.36
387,Cap-aux-Meules,75,CA,72,47.38,-61.86,15.8,5.44
388,Kikwit,56,CD,74,-5.04,18.82,72.43,0.49
389,Sedalia,20,US,100,38.7,-93.23,39.04,13.87
390,Yar-Sale,97,RU,95,66.83,70.83,12.0,8.28
391,Acapulco de Juarez,40,MX,58,16.86,-99.89,87.8,9.17
392,Byron Bay,75,AU,78,-28.65,153.62,72.05,12.75
393,Puerto Suarez,75,BO,66,-18.95,-57.8,89.6,3.38
394,Magadan,13,RU,75,59.57,150.8,0.59,7.81
395,Nanortalik,79,GL,58,60.14,-45.24,20.43,7.0
396,Kuah,20,MY,78,6.33,99.84,75.51,3.36
397,Ibadan,0,NG,83,7.39,3.9,80.6,4.7
398,Vila Franca do Campo,75,PT,82,37.72,-25.43,62.6,26.4
399,Erzin,0,TR,93,36.96,36.2,40.3,6.93
400,Hobyo,17,SO,78,5.35,48.53,76.68,19.53
401,Rameswaram,75,IN,67,9.28,79.3,77.86,15.99
402,Praia da Vitoria,75,PT,87,38.73,-27.07,60.8,34.74
403,Namwala,100,ZM,96,-15.75,26.44,65.57,3.53
404,Farnes,100,NO,93,61.32,7.8,15.26,8.19
405,Bafq,85,IR,58,31.61,55.41,39.47,7.99
406,Dutlwe,0,BW,55,-23.98,23.9,74.88,5.66
407,Pundaguitan,76,PH,83,6.37,126.17,79.48,8.12
408,Cap Malheureux,40,MU,94,-19.98,57.61,79.29,6.93
409,Sorong,91,ID,75,-0.88,131.25,81.95,1.57
410,Alugan,66,PH,83,12.22,125.48,80.83,10.6
411,Pleasanton,75,US,66,37.66,-121.87,54.18,9.17
412,San Cristobal,40,VE,61,7.77,-72.22,82.4,8.05
413,Bekhteyevka,90,RU,94,50.81,37.21,32.0,8.95
414,Barcelos,90,PT,76,41.54,-8.62,49.91,19.46
415,Veraval,50,IN,82,20.9,70.37,55.94,6.93
416,Port Moresby,90,PG,100,-9.44,147.18,75.2,11.41
417,Nicoya,73,CR,49,10.15,-85.45,82.33,26.4
418,Hargeisa,79,SO,91,9.56,44.06,60.06,14.47
419,Saint-Francois,80,FR,64,46.42,3.91,37.24,4.7
420,Narva-Joesuu,79,EE,83,59.46,28.04,35.56,12.73
421,Mayor Pablo Lagerenza,95,PY,60,-19.93,-60.77,85.21,6.46
422,Muisne,90,EC,88,0.6,-80.03,80.6,11.41
423,Maputo,75,MZ,88,-25.97,32.59,77.63,5.82
424,Kokrek,26,RU,60,43.24,46.73,27.48,6.8
425,Cairns,40,AU,74,-16.92,145.77,82.26,13.87
426,Ostroleka,75,PL,100,53.09,21.58,40.17,5.82
427,Pampa,1,US,13,35.54,-100.96,67.15,27.51
428,Takoradze,0,GH,87,4.88,-1.76,78.28,3.53
429,Poya,65,NC,78,-21.35,165.15,78.04,19.57
